,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
202,AAPL220121P00290000,2020-08-25 15:11:57,290.0,14.68,14.55,15.35,0.010000229,0.06816789,1.0,1122.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
203,AAPL220121P00300000,2020-08-28 19:00:20,300.0,16.7,16.3,17.1,-0.09000015,-0.5360342,16.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
204,AAPL220121P00310000,2020-08-25 13:31:42,310.0,18.0,18.15,18.95,0.0,0.0,3.0,799.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
205,AAPL220121P00320000,2020-08-28 19:31:21,320.0,20.4,20.15,21.0,0.11999893,0.5917107,22.0,2798.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
206,AAPL220121P00330000,2020-08-27 18:37:35,330.0,22.92,22.35,23.25,0.020000458,0.08733825,27.0,380.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
207,AAPL220121P00340000,2020-08-27 16:45:31,340.0,25.76,24.75,25.65,0.010000229,0.03883584,15.0,760.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
208,AAPL220121P00350000,2020-08-28 17:38:31,350.0,27.16,27.3,28.25,-1.5300007,-5.332871,319.0,1632.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
209,AAPL220121P00360000,2020-08-28 19:40:53,360.0,29.9,30.05,31.0,0.79999924,2.7491384,42.0,668.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
210,AAPL220121P00370000,2020-08-28 16:04:49,370.0,32.8,33.0,34.0,0.79999924,2.4999976,2.0,192.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
211,AAPL220121P00380000,2020-08-27 13:58:19,380.0,34.16,36.2,37.15,0.0099983215,0.029277662,1.0,207.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
212,AAPL220121P00390000,2020-08-26 18:19:50,390.0,38.0,39.5,40.55,0.020000458,0.0526605,2.0,250.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
213,AAPL220121P00400000,2020-08-28 19:02:33,400.0,43.6,43.05,44.1,0.41999817,0.9726683,114.0,1483.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
214,AAPL220121P00410000,2020-08-28 18:13:44,410.0,46.35,46.8,47.95,-0.8500023,-1.8008523,16.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
215,AAPL220121P00415000,2020-08-28 18:13:44,415.0,48.35,48.75,49.95,1.1499977,2.4364357,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
216,AAPL220121P00420000,2020-08-28 15:04:50,420.0,50.96,50.75,51.95,0.15999985,0.31496033,10.0,112.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
217,AAPL220121P00425000,2020-08-24 19:33:49,425.0,51.76,52.8,54.05,0.0,0.0,14.0,91.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
218,AAPL220121P00430000,2020-08-27 14:05:57,430.0,53.65,54.95,56.2,0.0,0.0,1.0,120.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
219,AAPL220121P00435000,2020-08-24 19:14:02,435.0,57.0,57.1,58.35,0.0,0.0,15.0,55.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
220,AAPL220121P00440000,2020-08-26 16:04:03,440.0,1.5,1.22,1.52,-56.8,-97.4271,24.0,737.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
221,AAPL220121P00445000,2020-08-21 14:54:57,445.0,61.94,61.6,62.9,0.0,0.0,5.0,85.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
222,AAPL220121P00450000,2020-08-27 18:25:26,450.0,63.61,63.9,65.2,-0.8899994,-1.379844,2.0,767.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
223,AAPL220121P00455000,2020-08-27 15:02:54,455.0,64.7,66.3,67.65,0.0,0.0,110.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
224,AAPL220121P00460000,2020-08-26 17:22:37,460.0,6.4,1.35,1.82,-60.6,-90.44776,10.0,113.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
225,AAPL220121P00465000,2020-08-26 19:01:30,465.0,70.16,71.25,72.6,0.0,0.0,5.0,56.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
226,AAPL220121P00470000,2020-08-26 15:49:07,470.0,72.02,73.75,75.15,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
227,AAPL220121P00475000,2020-08-26 16:24:36,475.0,74.0,76.3,77.75,0.0,0.0,1.0,31.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
228,AAPL220121P00480000,2020-08-28 16:24:56,480.0,6.64,1.5,1.97,-70.66,-91.410095,4.0,2682.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
229,AAPL220121P00485000,2020-08-26 13:48:36,485.0,78.0,81.65,83.15,0.0,0.0,5.0,50.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
230,AAPL220121P00490000,2020-08-28 19:01:41,490.0,84.4,84.4,85.9,-2.0999985,-2.427744,23.0,22.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
231,AAPL220121P00500000,2020-08-28 19:38:41,500.0,8.4,1.65,2.12,-81.57,-90.66355,1580.0,175.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
232,AAPL220121P00505000,2020-08-28 19:10:19,505.0,92.85,92.9,94.5,0.0,0.0,106.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
233,AAPL220121P00510000,2020-08-27 18:22:05,510.0,96.28,95.8,97.45,0.0,0.0,47.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
234,AAPL220121P00515000,2020-08-26 18:15:22,515.0,96.08,98.8,100.45,0.0,0.0,2.0,22.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
235,AAPL220121P00520000,2020-08-26 14:48:22,520.0,2.07,1.8,2.26,-97.93,-97.93,1.0,208.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
236,AAPL220121P00540000,2020-08-25 17:10:46,540.0,2.3,1.97,2.44,-113.399994,-98.01209,2.0,66.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
237,AAPL220121P00560000,2020-08-27 17:16:13,560.0,8.8,2.14,2.53,-121.05,-93.222946,,153.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
238,AAPL220121P00580000,2020-08-25 14:23:58,580.0,10.2,2.31,2.79,-133.8,-92.916664,1.0,132.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
239,AAPL220121P00600000,2020-08-26 19:22:15,600.0,2.93,2.53,2.97,-149.25,-98.07465,2.0,4460.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
240,AAPL220121P00620000,2020-08-24 19:58:52,620.0,11.6,2.7,3.2,-157.29999,-93.13203,,241.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
241,AAPL220121P00640000,2020-08-24 15:41:13,640.0,11.84,2.91,3.2,-169.66,-93.476585,,583.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
242,AAPL220121P00660000,2020-08-24 19:58:52,660.0,14.4,3.1,3.65,-185.54001,-92.79784,3.0,618.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
243,AAPL220121P00680000,2020-08-24 15:35:52,680.0,14.2,3.3,3.85,-200.84,-93.39658,82.0,3033.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
244,AAPL220121P00700000,2020-08-27 19:27:50,700.0,15.0,3.55,4.15,-219.1,-93.59248,11.0,955.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
245,AAPL220218C00165000,2021-11-19 20:59:29,165.0,6.76,6.7,6.85,0.7600002,12.666671,3462.0,9606.0,0.2761302856445312,False,REGULAR,USD,2022-02-18
246,AAPL220218C00170000,2021-11-19 20:59:56,170.0,5.05,5.0,5.1,0.6000004,13.483154,6581.0,58075.0,0.2766795965576171,False,REGULAR,USD,2022-02-18
247,AAPL220218C00175000,2021-11-19 20:57:41,175.0,3.66,3.65,3.8,0.31000018,9.253737,2563.0,13028.0,0.2799144274902343,False,REGULAR,USD,2022-02-18
248,AAPL220218C00180000,2021-11-19 20:58:55,180.0,2.74,2.67,2.79,0.26999998,10.931173,2219.0,5392.0,0.2825999475097656,False,REGULAR,USD,2022-02-18
249,AAPL220218C00185000,2021-11-19 20:59:11,185.0,2.01,1.99,2.06,0.13999999,7.4866304,1524.0,3881.0,0.2867502966308593,False,REGULAR,USD,2022-02-18
250,AAPL220218C00190000,2021-11-19 20:59:05,190.0,1.52,1.49,1.55,0.09000003,6.293709,1180.0,3112.0,0.292853751220703,False,REGULAR,USD,2022-02-18
251,AAPL220218C00195000,2021-11-19 20:52:29,195.0,1.16,1.13,1.19,-0.05000007,-4.1322374,133.0,567.0,0.3002999658203125,False,REGULAR,USD,2022-02-18
252,AAPL220218C00200000,2021-11-19 20:49:33,200.0,0.94,0.87,0.93,0.050000012,5.6179786,636.0,1789.0,0.3083565258789062,False,REGULAR,USD,2022-02-18
253,AAPL220218C00205000,2021-11-19 20:51:53,205.0,0.72,0.68,0.73,-0.03999996,-5.263153,527.0,5107.0,0.31604687866210934,False,REGULAR,USD,2022-02-18
254,AAPL220218C00210000,2021-11-19 20:45:20,210.0,0.61,0.54,0.59,0.0,0.0,105.0,1357.0,0.3249579223632812,False,REGULAR,USD,2022-02-18
255,AAPL220218C00215000,2021-11-19 19:07:34,215.0,0.49,0.44,0.49,-0.00999999,-1.9999981,319.0,589.0,0.3347234497070312,False,REGULAR,USD,2022-02-18
256,AAPL220218C00220000,2021-11-19 20:46:45,220.0,0.41,0.36,0.41,0.030000001,7.8947372,129.0,1452.0,0.3442448388671875,False,REGULAR,USD,2022-02-18
257,AAPL220218C00225000,2021-11-19 20:19:22,225.0,0.33,0.3,0.35,0.01000002,3.1250064,223.0,977.0,0.3540103662109374,False,REGULAR,USD,2022-02-18
258,AAPL220218C00230000,2021-11-19 20:21:29,230.0,0.29,0.26,0.3,0.00999999,3.571425,185.0,1713.0,0.3632876171875,False,REGULAR,USD,2022-02-18
259,AAPL220218C00235000,2021-11-19 20:09:21,235.0,0.25,0.22,0.26,0.0,0.0,8.0,118.0,0.37256486816406253,False,REGULAR,USD,2022-02-18
260,AAPL220218C00240000,2021-11-19 19:49:51,240.0,0.22,0.19,0.23,0.010000005,4.7619076,17.0,124.0,0.38281867187499996,False,REGULAR,USD,2022-02-18
261,AAPL220218C00245000,2021-11-19 20:23:10,245.0,0.18,0.17,0.2,0.0,0.0,570.0,57.0,0.39111937011718745,False,REGULAR,USD,2022-02-18
262,AAPL220218C00250000,2021-11-19 19:26:17,250.0,0.2,0.15,0.18,0.040000007,25.000006,263.0,294.0,0.40039662109375,False,REGULAR,USD,2022-02-18
263,AAPL220218C00255000,2021-11-19 19:37:00,255.0,0.15,0.15,0.16,0.010000005,7.1428614,24.0,69.0,0.40918559570312496,False,REGULAR,USD,2022-02-18
264,AAPL220218C00260000,2021-11-19 20:54:51,260.0,0.14,0.13,0.15,0.020000003,16.66667,600.0,765.0,0.41992767578125,False,REGULAR,USD,2022-02-18
